departure_airport,arrival_airport,departure_datetime,arrival_datetime,flight_number
MCO,JFK,2025-07-07 00:05:00,2025-07-07 02:59:00,B6384
MCO,BQN,2025-07-07 00:05:00,2025-07-07 04:32:00,B6430
BOS,BNA,2025-07-07 00:10:00,2025-07-07 03:58:00,B6907
JFK,LAX,2025-07-07 00:10:00,2025-07-07 09:29:00,B61223
BNA,BOS,2025-07-07 00:17:00,2025-07-07 01:54:00,B6506
LGA,TPA,2025-07-07 00:20:00,2025-07-07 03:10:00,B647
SJU,FLL,2025-07-07 00:29:00,2025-07-07 03:07:00,B6954
JFK,DCA,2025-07-07 00:30:00,2025-07-07 01:59:00,B6955
FLL,LAX,2025-07-07 00:40:00,2025-07-07 08:57:00,B62501
BOS,LAX,2025-07-07 00:40:00,2025-07-07 10:00:00,B61387
JFK,MCO,2025-07-07 00:40:00,2025-07-07 03:46:00,B6383
SJU,JFK,2025-07-07 00:45:00,2025-07-07 04:39:00,B6704
JFK,DTW,2025-07-07 00:45:00,2025-07-07 02:59:00,B6820
FLL,RDU,2025-07-07 00:50:00,2025-07-07 02:59:00,B62626
SJU,MCO,2025-07-07 00:50:00,2025-07-07 03:47:00,B6334
JFK,PIT,2025-07-07 00:59:00,2025-07-07 02:51:00,B61195
BOS,RIC,2025-07-07 00:59:00,2025-07-07 02:47:00,B6381
JFK,MHT,2025-07-07 00:59:00,2025-07-07 02:27:00,B6972
SJU,EWR,2025-07-07 00:59:00,2025-07-07 04:58:00,B61990
JFK,SJU,2025-07-07 01:00:00,2025-07-07 05:21:00,B6303
JFK,LAX,2025-07-07 01:10:00,2025-07-07 10:24:00,B6923
JFK,BUF,2025-07-07 01:15:00,2025-07-07 02:59:00,B6102
MCO,SJU,2025-07-07 01:15:00,2025-07-07 04:15:00,B61433
BQN,FLL,2025-07-07 01:28:00,2025-07-07 03:59:00,B62072
JFK,PVD,2025-07-07 01:29:00,2025-07-07 02:49:00,B61128
JFK,SYR,2025-07-07 01:30:00,2025-07-07 02:59:00,B61516
JFK,PWM,2025-07-07 01:45:00,2025-07-07 03:17:00,B6308
JFK,BQN,2025-07-07 01:55:00,2025-07-07 05:59:00,B6539
JFK,BOS,2025-07-07 01:59:00,2025-07-07 03:27:00,B61318
PSE,JFK,2025-07-07 04:59:00,2025-07-07 08:59:00,B6746
LAX,BOS,2025-07-07 05:25:00,2025-07-07 08:00:00,B61488
LAX,JFK,2025-07-07 05:36:00,2025-07-07 08:07:00,B61024
LAS,JFK,2025-07-07 06:05:00,2025-07-07 08:05:00,B62348
SJU,JFK,2025-07-07 06:05:00,2025-07-07 10:02:00,B6504
LAX,EWR,2025-07-07 06:20:00,2025-07-07 08:42:00,B61574
LAS,BOS,2025-07-07 06:25:00,2025-07-07 08:36:00,B6778
LAX,BUF,2025-07-07 06:46:00,2025-07-07 08:38:00,B6492
LAX,FLL,2025-07-07 07:15:00,2025-07-07 09:30:00,B6700
LAX,JFK,2025-07-07 07:27:00,2025-07-07 10:01:00,B61524
JFK,BQN,2025-07-07 08:01:00,2025-07-07 11:49:00,B62539
MCO,SJU,2025-07-07 08:01:00,2025-07-07 11:01:00,B61233
SJU,MCO,2025-07-07 08:01:00,2025-07-07 11:02:00,B61434
BQN,MCO,2025-07-07 08:01:00,2025-07-07 10:52:00,B6729
MCO,PSE,2025-07-07 08:05:00,2025-07-07 11:02:00,B6767
LAX,BOS,2025-07-07 08:15:00,2025-07-07 10:53:00,B6988
BOS,JFK,2025-07-07 08:15:00,2025-07-07 09:30:00,B6917
JFK,SJU,2025-07-07 08:25:00,2025-07-07 12:15:00,B6403
BUF,JFK,2025-07-07 08:35:00,2025-07-07 10:00:00,B62001
EWR,SJU,2025-07-07 08:35:00,2025-07-07 12:30:00,B61889
LAX,JFK,2025-07-07 08:54:00,2025-07-07 11:31:00,B61224
LAS,FLL,2025-07-07 08:58:00,2025-07-07 10:49:00,B6608
LAS,JFK,2025-07-07 08:59:00,2025-07-07 11:02:00,B6948
ALB,FLL,2025-07-07 09:00:00,2025-07-07 12:15:00,B687
BOS,ORD,2025-07-07 09:00:00,2025-07-07 12:55:00,B6311
BOS,TPA,2025-07-07 09:00:00,2025-07-07 12:15:00,B6891
TPA,BOS,2025-07-07 09:00:00,2025-07-07 12:05:00,B61192
FLL,LAX,2025-07-07 09:00:00,2025-07-07 17:18:00,B61201
FLL,EWR,2025-07-07 09:00:00,2025-07-07 11:55:00,B6306
SYR,JFK,2025-07-07 09:00:00,2025-07-07 10:13:00,B61515
PBI,BOS,2025-07-07 09:00:00,2025-07-07 12:10:00,B6322
PBI,LGA,2025-07-07 09:00:00,2025-07-07 11:43:00,B61062
SJU,BOS,2025-07-07 09:00:00,2025-07-07 13:07:00,B6562
ATL,BOS,2025-07-07 09:00:00,2025-07-07 11:33:00,B6696
MCO,BOS,2025-07-07 09:00:00,2025-07-07 12:04:00,B61652
RIC,BOS,2025-07-07 09:00:00,2025-07-07 10:40:00,B6382
RSW,BOS,2025-07-07 09:00:00,2025-07-07 12:10:00,B6166
BOS,RDU,2025-07-07 09:00:00,2025-07-07 11:05:00,B61883
SJU,JFK,2025-07-07 09:00:00,2025-07-07 12:59:00,B62904
DTW,JFK,2025-07-07 09:00:00,2025-07-07 10:45:00,B61419
RSW,JFK,2025-07-07 09:00:00,2025-07-07 11:48:00,B6130
JFK,LAX,2025-07-07 09:00:00,2025-07-07 17:55:00,B6123
MCO,SJU,2025-07-07 09:00:00,2025-07-07 12:00:00,B62133
PVD,SJU,2025-07-07 09:00:00,2025-07-07 12:48:00,B6525
EWR,MCO,2025-07-07 09:00:00,2025-07-07 11:42:00,B6927
PVD,MCO,2025-07-07 09:00:00,2025-07-07 11:54:00,B61076
EWR,RSW,2025-07-07 09:00:00,2025-07-07 11:58:00,B61911
SJU,MCO,2025-07-07 09:01:00,2025-07-07 12:03:00,B6234
FLL,JFK,2025-07-07 09:03:00,2025-07-07 11:59:00,B6302
PWM,JFK,2025-07-07 09:05:00,2025-07-07 10:24:00,B6307
BQN,JFK,2025-07-07 09:05:00,2025-07-07 12:57:00,B6538
PBI,HPN,2025-07-07 09:06:00,2025-07-07 12:00:00,B61368
BOS,MCO,2025-07-07 09:15:00,2025-07-07 12:22:00,B6351
BOS,JAX,2025-07-07 09:20:00,2025-07-07 12:07:00,B6109
JAX,JFK,2025-07-07 09:20:00,2025-07-07 11:40:00,B61678
BOS,LAX,2025-07-07 09:25:00,2025-07-07 18:40:00,B6287
BOS,DCA,2025-07-07 09:25:00,2025-07-07 11:05:00,B62255
JFK,BOS,2025-07-07 09:30:00,2025-07-07 10:44:00,B62718
JFK,LAS,2025-07-07 09:30:00,2025-07-07 18:00:00,B6411
DCA,JFK,2025-07-07 09:30:00,2025-07-07 10:43:00,B6254
JFK,MCO,2025-07-07 09:30:00,2025-07-07 12:14:00,B61083
LGA,MCO,2025-07-07 09:30:00,2025-07-07 12:12:00,B6599
BOS,FLL,2025-07-07 09:35:00,2025-07-07 13:00:00,B6569
TPA,JFK,2025-07-07 09:45:00,2025-07-07 12:29:00,B6126
RDU,FLL,2025-07-07 09:45:00,2025-07-07 11:55:00,B62625
JFK,RDU,2025-07-07 09:45:00,2025-07-07 11:24:00,B62285
MCO,JFK,2025-07-07 09:46:00,2025-07-07 12:29:00,B61184
RDU,JFK,2025-07-07 09:47:00,2025-07-07 11:30:00,B6286
FLL,DCA,2025-07-07 09:50:00,2025-07-07 12:20:00,B61480
JFK,SAV,2025-07-07 09:50:00,2025-07-07 12:01:00,B6741
JFK,FLL,2025-07-07 09:54:00,2025-07-07 12:59:00,B61601
JFK,LAX,2025-07-07 09:55:00,2025-07-07 18:52:00,B6223
EWR,FLL,2025-07-07 09:59:00,2025-07-07 12:54:00,B6205
HPN,PBI,2025-07-07 09:59:00,2025-07-07 12:46:00,B61067
TPA,EWR,2025-07-07 10:00:00,2025-07-07 12:49:00,B62274
SJU,FLL,2025-07-07 10:00:00,2025-07-07 12:41:00,B61246
LGA,FLL,2025-07-07 10:00:00,2025-07-07 13:00:00,B61471
RIC,FLL,2025-07-07 10:00:00,2025-07-07 12:23:00,B61145
DCA,FLL,2025-07-07 10:00:00,2025-07-07 12:35:00,B6379
FLL,BOS,2025-07-07 10:00:00,2025-07-07 13:14:00,B6690
FLL,HPN,2025-07-07 10:00:00,2025-07-07 13:00:00,B6814
PIT,JFK,2025-07-07 10:00:00,2025-07-07 11:30:00,B61198
MCO,BOS,2025-07-07 10:00:00,2025-07-07 13:05:00,B6552
BOS,RSW,2025-07-07 10:00:00,2025-07-07 13:28:00,B6165
MHT,JFK,2025-07-07 10:00:00,2025-07-07 11:14:00,B6971
HPN,RSW,2025-07-07 10:00:00,2025-07-07 12:56:00,B61551
FLL,CHS,2025-07-07 10:05:00,2025-07-07 11:45:00,B61130
ATL,JFK,2025-07-07 10:06:00,2025-07-07 12:29:00,B6320
PVD,JFK,2025-07-07 10:07:00,2025-07-07 11:09:00,B61129
BOS,PIT,2025-07-07 10:10:00,2025-07-07 12:03:00,B61585
BOS,JFK,2025-07-07 10:10:00,2025-07-07 11:30:00,B6417
PBI,EWR,2025-07-07 10:12:00,2025-07-07 13:00:00,B62144
TPA,SJU,2025-07-07 10:15:00,2025-07-07 13:20:00,B62751
MCO,SYR,2025-07-07 10:15:00,2025-07-07 13:02:00,B6656
MCO,LGA,2025-07-07 10:19:00,2025-07-07 13:00:00,B6598
BUF,FLL,2025-07-07 10:20:00,2025-07-07 13:20:00,B62465
BUF,BOS,2025-07-07 10:22:00,2025-07-07 11:42:00,B6716
JFK,BUF,2025-07-07 10:30:00,2025-07-07 12:00:00,B61602
HPN,TPA,2025-07-07 10:30:00,2025-07-07 13:18:00,B61447
JFK,PBI,2025-07-07 10:30:00,2025-07-07 13:29:00,B6953
DTW,BOS,2025-07-07 10:30:00,2025-07-07 12:26:00,B61236
FLL,SJU,2025-07-07 10:40:00,2025-07-07 13:19:00,B6991
BOS,LAS,2025-07-07 10:41:00,2025-07-07 19:30:00,B61177
SYR,BOS,2025-07-07 10:45:00,2025-07-07 11:54:00,B6374
DCA,MCO,2025-07-07 10:45:00,2025-07-07 13:05:00,B62423
EWR,LAX,2025-07-07 10:45:00,2025-07-07 19:32:00,B61573
LGA,TPA,2025-07-07 10:59:00,2025-07-07 13:49:00,B61247
FLL,ISP,2025-07-07 11:00:00,2025-07-07 13:51:00,B6514
FLL,PHL,2025-07-07 11:00:00,2025-07-07 13:52:00,B62016
FLL,RDU,2025-07-07 11:00:00,2025-07-07 13:03:00,B62926
BOS,SJU,2025-07-07 11:00:00,2025-07-07 15:06:00,B6861
BOS,LAX,2025-07-07 11:00:00,2025-07-07 20:12:00,B6687
BOS,DCA,2025-07-07 11:00:00,2025-07-07 12:41:00,B6455
BNA,JFK,2025-07-07 11:00:00,2025-07-07 12:27:00,B61074
JFK,CHS,2025-07-07 11:00:00,2025-07-07 13:15:00,B61273
MCO,SJU,2025-07-07 11:00:00,2025-07-07 14:00:00,B61033
DCA,SJU,2025-07-07 11:00:00,2025-07-07 14:59:00,B61347
HPN,SJU,2025-07-07 11:00:00,2025-07-07 14:45:00,B62601
JFK,LAX,2025-07-07 11:01:00,2025-07-07 20:01:00,B6323
BOS,PHL,2025-07-07 11:05:00,2025-07-07 12:38:00,B61159
SJU,MCO,2025-07-07 11:05:00,2025-07-07 14:07:00,B61334
JFK,ATL,2025-07-07 11:10:00,2025-07-07 13:36:00,B6519
JFK,MCO,2025-07-07 11:10:00,2025-07-07 14:00:00,B6183
JFK,FLL,2025-07-07 11:15:00,2025-07-07 14:31:00,B61
PBI,JFK,2025-07-07 11:15:00,2025-07-07 14:00:00,B6854
ORD,JFK,2025-07-07 11:16:00,2025-07-07 12:29:00,B6406
FLL,LAS,2025-07-07 11:20:00,2025-07-07 19:17:00,B61707
SJU,BOS,2025-07-07 11:25:00,2025-07-07 15:35:00,B6762
BOS,DTW,2025-07-07 11:25:00,2025-07-07 13:37:00,B6837
BUF,MCO,2025-07-07 11:30:00,2025-07-07 14:05:00,B685
HPN,FLL,2025-07-07 11:30:00,2025-07-07 14:25:00,B6813
JFK,BOS,2025-07-07 11:30:00,2025-07-07 12:51:00,B61018
BOS,BUF,2025-07-07 11:35:00,2025-07-07 13:09:00,B61295
DCA,BOS,2025-07-07 11:40:00,2025-07-07 13:16:00,B61854
BOS,JFK,2025-07-07 11:40:00,2025-07-07 12:59:00,B61117
RDU,BOS,2025-07-07 11:45:00,2025-07-07 13:44:00,B6484
BOS,MVY,2025-07-07 11:45:00,2025-07-07 12:31:00,B61324
MCO,DCA,2025-07-07 11:45:00,2025-07-07 14:00:00,B62024
JFK,SJU,2025-07-07 11:50:00,2025-07-07 15:50:00,B61603
PSE,MCO,2025-07-07 11:50:00,2025-07-07 14:53:00,B6768
MCO,HPN,2025-07-07 11:54:00,2025-07-07 14:42:00,B694
HPN,ACK,2025-07-07 11:56:00,2025-07-07 13:00:00,B62121
SJU,FLL,2025-07-07 12:00:00,2025-07-07 14:41:00,B61454
DCA,PBI,2025-07-07 12:00:00,2025-07-07 14:30:00,B62433
JFK,LAX,2025-07-07 12:00:00,2025-07-07 20:59:00,B6523
BOS,ATL,2025-07-07 12:05:00,2025-07-07 14:53:00,B61097
JFK,RSW,2025-07-07 12:05:00,2025-07-07 15:12:00,B61529
BNA,BOS,2025-07-07 12:10:00,2025-07-07 13:44:00,B6806
BOS,TPA,2025-07-07 12:14:00,2025-07-07 15:29:00,B6791
BOS,BNA,2025-07-07 12:15:00,2025-07-07 16:03:00,B61807
RDU,JFK,2025-07-07 12:19:00,2025-07-07 13:58:00,B62786
MCO,ISP,2025-07-07 12:20:00,2025-07-07 15:00:00,B6546
BOS,PBI,2025-07-07 12:20:00,2025-07-07 15:32:00,B621
BOS,DCA,2025-07-07 12:22:00,2025-07-07 13:59:00,B62355
JFK,MVY,2025-07-07 12:25:00,2025-07-07 13:38:00,B61338
JFK,ORD,2025-07-07 12:30:00,2025-07-07 16:19:00,B6905
CHS,FLL,2025-07-07 12:30:00,2025-07-07 14:09:00,B61131
JFK,LAS,2025-07-07 12:30:00,2025-07-07 21:07:00,B6511
BOS,ACK,2025-07-07 12:35:00,2025-07-07 13:29:00,B62352
LGA,FLL,2025-07-07 12:35:00,2025-07-07 15:43:00,B61371
BQN,JFK,2025-07-07 12:35:00,2025-07-07 16:29:00,B62638
TPA,JFK,2025-07-07 12:43:00,2025-07-07 15:31:00,B61686
BUF,JFK,2025-07-07 12:45:00,2025-07-07 14:09:00,B61901
MCO,ORH,2025-07-07 12:45:00,2025-07-07 16:44:00,B6488
FLL,LGA,2025-07-07 12:45:00,2025-07-07 15:37:00,B6172
LGA,PBI,2025-07-07 12:45:00,2025-07-07 15:39:00,B61461
HPN,MCO,2025-07-07 12:45:00,2025-07-07 15:28:00,B62695
EWR,MCO,2025-07-07 12:45:00,2025-07-07 15:35:00,B6127
RSW,EWR,2025-07-07 12:48:00,2025-07-07 15:39:00,B61912
JAX,BOS,2025-07-07 12:55:00,2025-07-07 15:35:00,B61310
BOS,CHS,2025-07-07 12:55:00,2025-07-07 15:24:00,B6267
SAV,JFK,2025-07-07 12:55:00,2025-07-07 15:00:00,B6142
MCO,RIC,2025-07-07 12:55:00,2025-07-07 11:19:00,B6670
TPA,BOS,2025-07-07 13:00:00,2025-07-07 16:04:00,B6892
PIT,BOS,2025-07-07 13:00:00,2025-07-07 14:39:00,B61286
FLL,LAX,2025-07-07 13:05:00,2025-07-07 21:26:00,B62801
BOS,SAV,2025-07-07 13:05:00,2025-07-07 15:40:00,B6249
MCO,BUF,2025-07-07 13:07:00,2025-07-07 15:48:00,B62686
MCO,JFK,2025-07-07 13:09:00,2025-07-07 15:49:00,B62584
DCA,FLL,2025-07-07 13:10:00,2025-07-07 15:48:00,B6579
BOS,SJU,2025-07-07 13:10:00,2025-07-07 17:15:00,B61235
BOS,MCO,2025-07-07 13:10:00,2025-07-07 14:11:00,B6651
BOS,PIT,2025-07-07 13:11:00,2025-07-07 14:58:00,B6385
JFK,LAX,2025-07-07 13:14:00,2025-07-07 22:10:00,B61123
PHL,BOS,2025-07-07 13:15:00,2025-07-07 14:40:00,B61160
MVY,BOS,2025-07-07 13:16:00,2025-07-07 14:05:00,B61225
JFK,BUF,2025-07-07 13:25:00,2025-07-07 14:56:00,B62902
DCA,BOS,2025-07-07 13:30:00,2025-07-07 15:05:00,B6554
JFK,ACK,2025-07-07 13:35:00,2025-07-07 14:53:00,B62091
SJU,JFK,2025-07-07 13:35:00,2025-07-07 17:30:00,B6904
EWR,TPA,2025-07-07 13:39:00,2025-07-07 16:29:00,B62273
ACK,DCA,2025-07-07 13:40:00,2025-07-07 15:18:00,B62493
ORD,BOS,2025-07-07 13:40:00,2025-07-07 15:04:00,B6312
SJU,RDU,2025-07-07 13:40:00,2025-07-07 17:20:00,B6404
JFK,TPA,2025-07-07 13:45:00,2025-07-07 16:41:00,B6225
ORH,FLL,2025-07-07 13:45:00,2025-07-07 17:00:00,B62119
RSW,HPN,2025-07-07 13:46:00,2025-07-07 16:44:00,B61552
BOS,LAX,2025-07-07 13:50:00,2025-07-07 23:04:00,B61487
MCO,SJU,2025-07-07 13:50:00,2025-07-07 16:51:00,B6133
LGA,MCO,2025-07-07 13:50:00,2025-07-07 16:40:00,B6499
BUF,BOS,2025-07-07 13:54:00,2025-07-07 15:20:00,B61296
HPN,PBI,2025-07-07 13:55:00,2025-07-07 16:46:00,B61167
JFK,BOS,2025-07-07 13:59:00,2025-07-07 15:15:00,B6418
SYR,MCO,2025-07-07 14:00:00,2025-07-07 16:56:00,B6655
EWR,PBI,2025-07-07 14:00:00,2025-07-07 16:55:00,B62143
CHS,JFK,2025-07-07 14:00:00,2025-07-07 15:59:00,B62474
JFK,JAX,2025-07-07 14:00:00,2025-07-07 16:29:00,B6678
RDU,FLL,2025-07-07 14:03:00,2025-07-07 16:05:00,B62825
FLL,JFK,2025-07-07 14:04:00,2025-07-07 17:00:00,B61902
PBI,PVD,2025-07-07 14:04:00,2025-07-07 16:57:00,B61288
BOS,FLL,2025-07-07 14:05:00,2025-07-07 17:30:00,B62469
FLL,LGA,2025-07-07 14:12:00,2025-07-07 17:07:00,B6272
RSW,BOS,2025-07-07 14:13:00,2025-07-07 17:23:00,B6266
PBI,JFK,2025-07-07 14:14:00,2025-07-07 16:59:00,B61054
ACK,LGA,2025-07-07 14:15:00,2025-07-07 15:30:00,B6831
BOS,JFK,2025-07-07 14:15:00,2025-07-07 15:32:00,B61017
BOS,DCA,2025-07-07 14:15:00,2025-07-07 15:54:00,B61055
JFK,SJU,2025-07-07 14:15:00,2025-07-07 18:12:00,B6503
MCO,BQN,2025-07-07 14:20:00,2025-07-07 17:09:00,B6730
ATL,JFK,2025-07-07 14:21:00,2025-07-07 16:43:00,B61520
MVY,JFK,2025-07-07 14:23:00,2025-07-07 15:29:00,B61339
DTW,BOS,2025-07-07 14:25:00,2025-07-07 16:14:00,B61336
SJU,EWR,2025-07-07 14:25:00,2025-07-07 18:34:00,B61890
BOS,BUF,2025-07-07 14:30:00,2025-07-07 16:03:00,B61215
MCO,RIC,2025-07-07 14:30:00,2025-07-07 22:40:00,B6770
ISP,FLL,2025-07-07 14:40:00,2025-07-07 17:37:00,B6513
BOS,MCO,2025-07-07 14:40:00,2025-07-07 17:51:00,B62051
MCO,HPN,2025-07-07 14:40:00,2025-07-07 17:29:00,B6194
PHL,FLL,2025-07-07 14:42:00,2025-07-07 17:33:00,B6429
DCA,BOS,2025-07-07 14:45:00,2025-07-07 16:15:00,B62454
MCO,JFK,2025-07-07 14:45:00,2025-07-07 17:29:00,B6184
DCA,MCO,2025-07-07 14:45:00,2025-07-07 17:04:00,B61923
BOS,RIC,2025-07-07 14:49:00,2025-07-07 16:37:00,B61281
SJU,MCO,2025-07-07 14:50:00,2025-07-07 17:55:00,B6934
MCO,EWR,2025-07-07 14:55:00,2025-07-07 17:40:00,B62028
JFK,PWM,2025-07-07 15:00:00,2025-07-07 16:23:00,B6508
LAX,BOS,2025-07-07 15:00:00,2025-07-07 17:47:00,B6888
BOS,SJU,2025-07-07 15:00:00,2025-07-07 19:04:00,B6261
JFK,MCO,2025-07-07 15:00:00,2025-07-07 17:52:00,B683
MCO,MHT,2025-07-07 15:00:00,2025-07-07 18:00:00,B61144
FLL,BUF,2025-07-07 15:05:00,2025-07-07 17:58:00,B61026
FLL,ORH,2025-07-07 15:05:00,2025-07-07 18:03:00,B62020
JFK,LAX,2025-07-07 15:10:00,2025-07-08 00:10:00,B6423
FLL,SJU,2025-07-07 15:15:00,2025-07-07 17:57:00,B61553
PBI,DCA,2025-07-07 15:25:00,2025-07-07 17:48:00,B62334
LAX,JFK,2025-07-07 15:25:00,2025-07-07 17:59:00,B6124
MCO,LGA,2025-07-07 15:25:00,2025-07-07 18:05:00,B6698
PBI,ISP,2025-07-07 15:30:00,2025-07-07 18:13:00,B6544
JFK,FLL,2025-07-07 15:30:00,2025-07-07 18:38:00,B6501
BOS,ACK,2025-07-07 15:32:00,2025-07-07 16:25:00,B61352
BUF,JFK,2025-07-07 15:43:00,2025-07-07 17:14:00,B62901
PIT,BOS,2025-07-07 15:43:00,2025-07-07 17:22:00,B6386
FLL,BOS,2025-07-07 15:45:00,2025-07-07 19:04:00,B670
SJU,STX,2025-07-07 15:46:00,2025-07-07 16:26:00,B62940
ATL,BOS,2025-07-07 15:48:00,2025-07-07 18:24:00,B6896
ACK,JFK,2025-07-07 15:49:00,2025-07-07 16:59:00,B692
SJU,STT,2025-07-07 15:50:00,2025-07-07 16:28:00,B6936
TPA,LGA,2025-07-07 15:52:00,2025-07-07 18:30:00,B648
ISP,MCO,2025-07-07 15:55:00,2025-07-07 18:39:00,B6547
SJU,BOS,2025-07-07 15:55:00,2025-07-07 20:03:00,B6862
RIC,MCO,2025-07-07 15:55:00,2025-07-07 18:00:00,B6969
HPN,RSW,2025-07-07 16:00:00,2025-07-07 18:59:00,B61251
DCA,MVY,2025-07-07 16:05:00,2025-07-07 17:28:00,B61414
RSW,JFK,2025-07-07 16:07:00,2025-07-07 18:59:00,B61530
LGA,ACK,2025-07-07 16:10:00,2025-07-07 17:23:00,B62432
SJU,FLL,2025-07-07 16:10:00,2025-07-07 20:01:00,B61754
CHS,BOS,2025-07-07 16:19:00,2025-07-07 18:41:00,B668
BOS,DCA,2025-07-07 16:20:00,2025-07-07 18:03:00,B6855
TPA,BOS,2025-07-07 16:24:00,2025-07-07 19:34:00,B6592
EWR,FLL,2025-07-07 16:29:00,2025-07-07 19:25:00,B6105
SAV,BOS,2025-07-07 16:30:00,2025-07-07 18:40:01,B68350
JFK,BNA,2025-07-07 16:30:00,2025-07-07 19:57:00,B61173
MCO,JFK,2025-07-07 16:30:00,2025-07-07 19:19:00,B61084
MCO,EWR,2025-07-07 16:30:00,2025-07-07 19:17:00,B6128
SAV,BOS,2025-07-07 16:35:00,2025-07-07 18:59:00,B6150
BOS,ORD,2025-07-07 16:40:00,2025-07-07 20:32:00,B6811
FLL,DCA,2025-07-07 16:40:00,2025-07-07 19:12:00,B61680
BOS,SJU,2025-07-07 16:40:00,2025-07-07 20:44:00,B6761
PBI,BOS,2025-07-07 16:42:00,2025-07-07 20:00:00,B622
BUF,MCO,2025-07-07 16:43:00,2025-07-07 19:25:00,B62685
DCA,BOS,2025-07-07 16:44:00,2025-07-07 18:20:00,B61254
BNA,BOS,2025-07-07 16:48:00,2025-07-07 18:25:00,B61806
BOS,MCO,2025-07-07 16:50:00,2025-07-07 20:10:00,B62251
SJU,JFK,2025-07-07 16:50:00,2025-07-07 20:49:00,B61604
JFK,ATL,2025-07-07 16:50:00,2025-07-07 19:29:00,B6419
MCO,ALB,2025-07-07 16:52:00,2025-07-07 19:49:00,B6119
BUF,BOS,2025-07-07 16:55:00,2025-07-07 18:25:00,B61216
FLL,JFK,2025-07-07 16:59:00,2025-07-07 19:57:00,B61002
BOS,JFK,2025-07-07 16:59:00,2025-07-07 18:15:00,B6817
JFK,ACK,2025-07-07 17:00:00,2025-07-07 18:23:00,B62291
LAX,FLL,2025-07-07 17:00:00,2025-07-07 19:23:00,B61700
FLL,SJU,2025-07-07 17:00:00,2025-07-07 19:43:00,B6553
MCO,PVD,2025-07-07 17:00:00,2025-07-07 19:53:00,B61075
ORD,JFK,2025-07-07 17:06:00,2025-07-07 18:30:00,B6906
